"spcode","kingdom","phylum","class","family","genus","species","common_name","order"
37374904,"Animalia","Chordata","Actinopterygii","Cirrhitidae","Cyprinocirrhites","spp",NA,"Perciformes"
37461903,"Animalia","Chordata","Actinopterygii","Pleuronectidae","Colistium","spp",NA,"Pleuronectiformes"
37053901,"Animalia","Chordata","Actinopterygii","Elopidae","Elops","spp",NA,"Elopiformes"
37031905,"Animalia","Chordata","Elasmobranchii","Arhynchobatidae","Insentiraja","spp",NA,"Rajiformes"
37107906,"Animalia","Chordata","Actinopterygii","Sternoptychidae","Valenciennellus","spp",NA,"Stomiiformes"
37288912,"Animalia","Chordata","Actinopterygii","Peristediidae","Satyrichthys","spp",NA,"Scorpaeniformes"
37321912,"Animalia","Chordata","Actinopterygii","Terapontidae","Syncomistes","spp",NA,"Perciformes"
37296906,"Animalia","Chordata","Actinopterygii","Platycephalidae","Cociella","spp",NA,"Scorpaeniformes"
37282907,"Animalia","Chordata","Actinopterygii","Syngnathidae","Cosmocampus","spp",NA,"Syngnathiformes"
37429910,"Animalia","Chordata","Actinopterygii","Eleotridae","Incara","spp",NA,"Perciformes"
37427902,"Animalia","Chordata","Actinopterygii","Callionymidae","Bathycallionymus","spp",NA,"Perciformes"
37365914,"Animalia","Chordata","Actinopterygii","Pomacanthidae","Paracentropyge","spp",NA,"Perciformes"
37068907,"Animalia","Chordata","Actinopterygii","Ophichthidae","Echelus","spp",NA,"Anguilliformes"
37428953,"Animalia","Chordata","Actinopterygii","Gobiidae","Minysicya","spp",NA,"Perciformes"
37465938,"Animalia","Chordata","Actinopterygii","Balistidae","Xenobalistes","spp",NA,"Tetraodontiformes"
37361902,"Animalia","Chordata","Actinopterygii","Kyphosidae","Girella","spp",NA,"Perciformes"
37224912,"Animalia","Chordata","Actinopterygii","Melanonidae","Melanonus","spp",NA,"Gadiformes"
37384912,"Animalia","Chordata","Actinopterygii","Labridae","Coris","spp",NA,"Perciformes"
37287931,"Animalia","Chordata","Actinopterygii","Pteroidae","Parapterois","spp",NA,"Scorpaeniformes"
37229902,"Animalia","Chordata","Actinopterygii","Carapidae","Echiodon","spp",NA,"Ophidiiformes"
37428950,"Animalia","Chordata","Actinopterygii","Gobiidae","Luposicya","spp",NA,"Perciformes"
37251901,"Animalia","Chordata","Actinopterygii","Melamphaidae","Melamphaes","spp",NA,"Stephanoberyciformes"
37210907,"Animalia","Chordata","Actinopterygii","Antennariidae","Histrio","spp",NA,"Lophiiformes"
37365913,"Animalia","Chordata","Actinopterygii","Chaetodontidae","Heniochus","spp",NA,"Perciformes"
37067917,"Animalia","Chordata","Actinopterygii","Congridae","Parabathymyrus","spp",NA,"Anguilliformes"
37470902,"Animalia","Chordata","Actinopterygii","Molidae","Mola","spp",NA,"Tetraodontiformes"
37428991,"Animalia","Chordata","Actinopterygii","Gobiidae","Trimmatom","spp",NA,"Perciformes"
37467912,"Animalia","Chordata","Actinopterygii","Tetraodontidae","Tetraodon","spp",NA,"Tetraodontiformes"
37365910,"Animalia","Chordata","Actinopterygii","Chaetodontidae","Forcipiger","spp",NA,"Perciformes"
37014901,"Animalia","Chordata","Elasmobranchii","Rhincodontidae","Rhincodon","spp",NA,"Orectolobiformes"
37018910,"Animalia","Chordata","Elasmobranchii","Carcharhinidae","Negaprion","spp",NA,"Carcharhiniformes"
37337930,"Animalia","Chordata","Actinopterygii","Carangidae","Uraspis","spp",NA,"Perciformes"
37349902,"Animalia","Chordata","Actinopterygii","Gerreidae","Parequula","spp",NA,"Perciformes"
37251902,"Animalia","Chordata","Actinopterygii","Melamphaidae","Poromitra","spp",NA,"Stephanoberyciformes"
37437901,"Animalia","Chordata","Actinopterygii","Acanthuridae","Acanthurus","spp",NA,"Perciformes"
37407903,"Animalia","Chordata","Actinopterygii","Channichthyidae","Channichthys","spp",NA,"Perciformes"
37255902,"Animalia","Chordata","Actinopterygii","Trachichthyidae","Gephyroberyx","spp",NA,"Beryciformes"
37428970,"Animalia","Chordata","Actinopterygii","Gobiidae","Periophthalmus","spp",NA,"Perciformes"
37028901,"Animalia","Chordata","Elasmobranchii","Hypnidae","Hypnos","spp",NA,"Torpediniformes"
37321911,"Animalia","Chordata","Actinopterygii","Terapontidae","Scortum","spp",NA,"Perciformes"
37126908,"Animalia","Chordata","Actinopterygii","Paralepididae","Stemonosudis","spp",NA,"Aulopiformes"
37108903,"Animalia","Chordata","Actinopterygii","Astronesthidae","Eupogonesthes","spp",NA,"Stomiiformes"
37228913,"Animalia","Chordata","Actinopterygii","Ophidiidae","Brotulotaenia","spp",NA,"Ophidiiformes"
37287909,"Animalia","Chordata","Actinopterygii","Pteroidae","Brachypterois","spp",NA,"Scorpaeniformes"
37102904,"Animalia","Chordata","Actinopterygii","Galaxiidae","Neochanna","spp",NA,"Osmeriformes"
37408907,"Animalia","Chordata","Actinopterygii","Blenniidae","Enchelyurus","spp",NA,"Perciformes"
37428959,"Animalia","Chordata","Actinopterygii","Gobiidae","Opua","spp",NA,"Perciformes"
37408902,"Animalia","Chordata","Actinopterygii","Blenniidae","Atrosalarias","spp",NA,"Perciformes"
37228901,"Animalia","Chordata","Actinopterygii","Ophidiidae","Genypterus","spp","ling","Ophidiiformes"
37374000,"Animalia","Chordata","Actinopterygii","Cirrhitidae","Unknown","spp","hawkfishes","Perciformes"
37228934,"Animalia","Chordata","Actinopterygii","Ophidiidae","Homostolus","spp",NA,"Ophidiiformes"
37282911,"Animalia","Chordata","Actinopterygii","Syngnathidae","Filicampus","spp",NA,"Syngnathiformes"
37083901,"Animalia","Chordata","Actinopterygii","Notacanthidae","Notacanthus","spp",NA,"Notacanthiformes"
37228926,"Animalia","Chordata","Actinopterygii","Ophidiidae","Epetriodus","spp",NA,"Ophidiiformes"
37327924,"Animalia","Chordata","Actinopterygii","Apogonidae","Vincentia","spp",NA,"Perciformes"
37109904,"Animalia","Chordata","Actinopterygii","Melanostomiidae","Flagellostomias","spp",NA,"Stomiiformes"
37232921,"Animalia","Chordata","Actinopterygii","Macrouridae","Odontomacrurus","spp",NA,"Gadiformes"
37263902,"Animalia","Chordata","Actinopterygii","Zeniontidae","Zenion","spp",NA,"Zeiformes"
37020906,"Animalia","Chordata","Elasmobranchii","Somniosidae","Centroscymnus","spp","[a dogfish]","Squaliformes"
