"synonym","unacceptreason","aphiaid","scientific","match_type"
"Cyrtocara labrosa","senior synonym",1015413,"Abactochromis labrosus","exact"
"Haplochromis labrosus","senior synonym",1015413,"Abactochromis labrosus","exact"
"Melanochromis labrosus",NA,1015413,"Abactochromis labrosus","exact"
"Abalistes stellairs","misspelling",219873,"Abalistes stellatus","exact"
"Abalistes stellaris",NA,219873,"Abalistes stellatus","exact"
"Balistes phaleratus",NA,219873,"Abalistes stellatus","exact"
"Balistes stellaris",NA,219873,"Abalistes stellatus","exact"
"Balistes stellatus",NA,219873,"Abalistes stellatus","exact"
"Balistes vachellii",NA,219873,"Abalistes stellatus","exact"
"Antennarius analis",NA,315963,"Abantennarius analis","exact"
"Antennatus analis",NA,315963,"Abantennarius analis","exact"
"Antennarius bermudensis",NA,1605257,"Abantennarius bermudensis","exact"
"Antennatus bermudensis",NA,1605257,"Abantennarius bermudensis","exact"
"Abantennarius neocaledoniensis",NA,1605256,"Abantennarius coccineus","exact"
"Antennarius coccineus",NA,1605256,"Abantennarius coccineus","exact"
"Antennarius immaculatus",NA,1605256,"Abantennarius coccineus","exact"
"Antennarius leucus",NA,1605256,"Abantennarius coccineus","exact"
"Antennarius moai",NA,1605256,"Abantennarius coccineus","exact"
"Antennarius stigmaticus",NA,1605256,"Abantennarius coccineus","exact"
"Antennatus coccineus",NA,1605256,"Abantennarius coccineus","exact"
"Chironectes coccineus",NA,1605256,"Abantennarius coccineus","exact"
"Antenarius dnorehensis","misspelling",1605258,"Abantennarius dorehensis","exact"
"Antennarius albomaculatus","misspelling",1605258,"Abantennarius dorehensis","exact"
"Antennarius albomarginatus",NA,1605258,"Abantennarius dorehensis","exact"
"Antennarius altipinnis",NA,1605258,"Abantennarius dorehensis","exact"
"Antennarius dorehensis",NA,1605258,"Abantennarius dorehensis","exact"
"Antennarius niveus",NA,1605258,"Abantennarius dorehensis","exact"
"Antennarius punctatissimus",NA,1605258,"Abantennarius dorehensis","exact"
"Antennatus dorehensis",NA,1605258,"Abantennarius dorehensis","exact"
"Antennarius drombus",NA,1605261,"Abantennarius drombus","exact"
"Antennarius nexilis",NA,1605261,"Abantennarius drombus","exact"
"Antennarius duescus",NA,1605259,"Abantennarius duescus","exact"
"Antennatus duescus",NA,1605259,"Abantennarius duescus","exact"
"Antennarius japonicus",NA,1605260,"Abantennarius nummifer","exact"
"Antennarius mummifer","misspelling",1605260,"Abantennarius nummifer","exact"
"Antennarius nummifer",NA,1605260,"Abantennarius nummifer","exact"
"Antennarius sanguifluus",NA,1605260,"Abantennarius nummifer","exact"
"Antennatus nummifer",NA,1605260,"Abantennarius nummifer","exact"
"Chironectes bicornis","junior synonym",1605260,"Abantennarius nummifer","exact"
"Chironectes chlorostygma",NA,1605260,"Abantennarius nummifer","exact"
"Chironectes nummifer",NA,1605260,"Abantennarius nummifer","exact"
"Antennarius rosaceus",NA,1592359,"Abantennarius rosaceus","exact"
"Antennatus rosaceus",NA,1592359,"Abantennarius rosaceus","exact"
"Antennarius leopardinus","junior synonym",1592389,"Abantennarius sanguineus","exact"
"Antennarius sanguineus",NA,1592389,"Abantennarius sanguineus","exact"
"Antennarius tagus","junior synonym",1592389,"Abantennarius sanguineus","exact"
"Antennatus sanguineus",NA,1592389,"Abantennarius sanguineus","exact"
"Pseudogobio obtusirostris",NA,1015800,"Abbottina obtusirostris","exact"
"Abbottina psegma",NA,1018726,"Abbottina rivularis","exact"
"Gobio rivularis","synonym",1018726,"Abbottina rivularis","exact"
"Pseudogobio rivularis",NA,1018726,"Abbottina rivularis","exact"
"Tylognathus sinensis","synonym",1018726,"Abbottina rivularis","exact"
"Amblyapistus binotata",NA,221448,"Ablabys binotatus","exact"
"Amblyapistus binotatus",NA,221448,"Ablabys binotatus","exact"
"Amblyapistus marleyi",NA,221448,"Ablabys binotatus","exact"
"Apistus binotatus",NA,221448,"Ablabys binotatus","exact"
"Amblyapistus macracanthus",NA,278867,"Ablabys macracanthus","exact"
"Apistus macracanthus",NA,278867,"Ablabys macracanthus","exact"
"Ablabys taenionotus","misspelling",221449,"Ablabys taenianotus","exact"
"Ambliapistus taenionotus","misspelling",221449,"Ablabys taenianotus","exact"
"Amblyapistus slacksmithi",NA,221449,"Ablabys taenianotus","exact"
"Amblyapistus taenianotus",NA,221449,"Ablabys taenianotus","exact"
"Amblyapistus taenionotris",NA,221449,"Ablabys taenianotus","exact"
"Amblyapistus taenionotus","misspelling",221449,"Ablabys taenianotus","exact"
"Apistus taenianotus",NA,221449,"Ablabys taenianotus","exact"
"Apistus taenionotus","misspelling",221449,"Ablabys taenianotus","exact"
"Tetraroge alboguttata",NA,221449,"Ablabys taenianotus","exact"
"Tetraroge cristagalli",NA,221449,"Ablabys taenianotus","exact"
"Tetraroge taenionotus","misspelling",221449,"Ablabys taenianotus","exact"
"Ablenes hians","misspelling",159246,"Ablennes hians","exact"
"Ablennes hians pacificus","junior synonym",159246,"Ablennes hians","exact"
"Ablennes pacificus",NA,159246,"Ablennes hians","exact"
"Athlennes hians","misspelling",159246,"Ablennes hians","exact"
"Belone hians","Original combination",159246,"Ablennes hians","exact"
"Belone maculata",NA,159246,"Ablennes hians","exact"
"Belone melanostigma",NA,159246,"Ablennes hians","exact"
"Belone schismatorhynchus",NA,159246,"Ablennes hians","exact"
"Blennes hians","misspelling",159246,"Ablennes hians","exact"
"Mastaccembelus melanostigma",NA,159246,"Ablennes hians","exact"
"Mastacembelus fasciatus",NA,159246,"Ablennes hians","exact"
"Tylosurus caeruleofasciatus",NA,159246,"Ablennes hians","exact"
"Tylosurus hians",NA,159246,"Ablennes hians","exact"
"Gobiosoma etheostoma","synonym",293673,"Aboma etheostoma","exact"
"Gobiosoma polyporosum","synonym",293673,"Aboma etheostoma","exact"
"Noemacheilus elongatus","senior synonym",1016819,"Aborichthys elongatus","exact"
"Aborichthys goaensis",NA,1016322,"Aborichthys garoensis","exact"
"Noemacheilus garoensis","senior synonym",1016322,"Aborichthys garoensis","exact"
"Abudefduf rhyncholepis",NA,212881,"Abudefduf margariteus","exact"
"Glyphidodon maculipinnis",NA,212881,"Abudefduf margariteus","exact"
"Glyphidodon rhyncholepis",NA,212881,"Abudefduf margariteus","exact"
"Glyphisodon margariteus",NA,212881,"Abudefduf margariteus","exact"
"Abudefduf clarki",NA,212870,"Abudefduf notatus","exact"
"Chrysiptera paucifasciata",NA,212870,"Abudefduf notatus","exact"
"Glyphidodon notatus",NA,212870,"Abudefduf notatus","exact"
"Indoglyphidodon abbotti",NA,212870,"Abudefduf notatus","exact"
"Abudefduf ascensionis",NA,159288,"Abudefduf saxatilis","exact"
"Abudefduf marginatus",NA,159288,"Abudefduf saxatilis","exact"
"Abudefduf saxiatilis","misspelling",159288,"Abudefduf saxatilis","exact"
"Abudefduf sexatilis","misspelling",159288,"Abudefduf saxatilis","exact"
"Apogon quinquevittatus",NA,159288,"Abudefduf saxatilis","exact"
"Chaetodon marginatus",NA,159288,"Abudefduf saxatilis","exact"
"Chaetodon mauritii",NA,159288,"Abudefduf saxatilis","exact"
"Chaetodon sargoides",NA,159288,"Abudefduf saxatilis","exact"
"Chaetodon saxatilis",NA,159288,"Abudefduf saxatilis","exact"
"Glyphidodon saxatilis",NA,159288,"Abudefduf saxatilis","exact"
"Glyphisodon biniar",NA,159288,"Abudefduf saxatilis","exact"
"Glyphisodon moucharra",NA,159288,"Abudefduf saxatilis","exact"
"Glyphisodon saxatilis",NA,159288,"Abudefduf saxatilis","exact"
"Abudefduf multifasciatus",NA,212878,"Abudefduf septemfasciatus","exact"
"Abudefduf paee",NA,212878,"Abudefduf septemfasciatus","exact"
"Chaetodon rotundus",NA,212878,"Abudefduf septemfasciatus","exact"
"Glyphisodon septemfasciatus",NA,212878,"Abudefduf septemfasciatus","exact"
"Abudefduf coelestinus",NA,159289,"Abudefduf sexfasciatus","exact"
"Glyphidodon caelestinus",NA,159289,"Abudefduf sexfasciatus","exact"
"Glyphisodon coelestinus",NA,159289,"Abudefduf sexfasciatus","exact"
"Labrus sexfasciatus",NA,159289,"Abudefduf sexfasciatus","exact"
"Acanthorhodeus asmussi",NA,1020529,"Acheilognathus asmussii","exact"
"Acanthorhodeus asmussii",NA,1020529,"Acheilognathus asmussii","exact"
"Acanthorhodeus asmussii amurensis",NA,1020529,"Acheilognathus asmussii","exact"
"Acheilognathus assmussii",NA,1020529,"Acheilognathus asmussii","exact"
"Devario asmussii",NA,1020529,"Acheilognathus asmussii","exact"
"Acanthorhodeus barbatulus",NA,1014925,"Acheilognathus barbatulus","exact"
"Acheilognathus argenteus",NA,1014925,"Acheilognathus barbatulus","exact"
"Acheilognathus shibatae","synonym",1014925,"Acheilognathus barbatulus","exact"
"Achilognathus barbatulus","misspelling",1014925,"Acheilognathus barbatulus","exact"
"Acheilognathus elongatus brevicaudatus",NA,1524136,"Acheilognathus brevicaudatus","exact"
"Acheilognathus koreanus",NA,1467854,"Acheilognathus coreanus","exact"
"Achilognathus coreanus",NA,1467854,"Acheilognathus coreanus","exact"
"Acheilognathus brevianalis",NA,1017837,"Acheilognathus cyanostigma","exact"
"Acanthorhodeus deignani","synonym",1014434,"Acheilognathus deignani","exact"
"Acanthorhodeus elongatus","synonym",1017027,"Acheilognathus elongatus","exact"
"Acanthorhodeus grahami",NA,1017027,"Acheilognathus elongatus","exact"
"Acanthorhodeus fowleri",NA,1013567,"Acheilognathus gracilis","exact"
"Acheilognathus gracilis gracilis","senior synonym",1013567,"Acheilognathus gracilis","exact"
