"synonym","unacceptreason","aphiaid","scientific","match_type"
"Tetraodon semistriatus",NA,219925,"Arothron hispidus","exact"
"Tetrodon hispidus","misspelling",219925,"Arothron hispidus","exact"
"Tetrodon laterna",NA,219925,"Arothron hispidus","exact"
"Tetrodon pusillus",NA,219925,"Arothron hispidus","exact"
"Crayracion immaculatus",NA,219931,"Arothron immaculatus","exact"
"Dilobmycterus sordidus","synonym",219931,"Arothron immaculatus","exact"
"Dilobomycter sordidus","misspelling",219931,"Arothron immaculatus","exact"
"Tetraodon aspilos",NA,219931,"Arothron immaculatus","exact"
"Tetraodon immaculatus",NA,219931,"Arothron immaculatus","exact"
"Tetraodon kunhardtii",NA,219931,"Arothron immaculatus","exact"
"Tetraodon parvus",NA,219931,"Arothron immaculatus","exact"
"Tetraodon scaber",NA,219931,"Arothron immaculatus","exact"
"Tetraodon sordidus",NA,219931,"Arothron immaculatus","exact"
"Tetrodon immaculatus","misspelling",219931,"Arothron immaculatus","exact"
"Tetrodon sordidus",NA,219931,"Arothron immaculatus","exact"
"Arothron manillensis","misspelling",275384,"Arothron manilensis","exact"
"Dibolomycter longicaudus","synonym",275384,"Arothron manilensis","exact"
"Dibolomyctère longicauda","misspelling",275384,"Arothron manilensis","exact"
"Dilobomycter longicauda","synonym",275384,"Arothron manilensis","exact"
"Dilobomycter longicaudus",NA,275384,"Arothron manilensis","exact"
"Dilobomycterus longicauda",NA,275384,"Arothron manilensis","exact"
"Holacanthus pilosus","misspelling",275384,"Arothron manilensis","exact"
"Holocanthus pilosus",NA,275384,"Arothron manilensis","exact"
"Tetrodon manilensis",NA,275384,"Arothron manilensis","exact"
"Tetrodon virgatus",NA,275384,"Arothron manilensis","exact"
"Tetraodon mappa",NA,219930,"Arothron mappa","exact"
"Tetrodon mappa","misspelling",219930,"Arothron mappa","exact"
"Arothron meleagridis",NA,219926,"Arothron meleagris","exact"
"Arothron ophryas",NA,219926,"Arothron meleagris","exact"
"Arothron setosus",NA,219926,"Arothron meleagris","exact"
"Ovoides latifrons",NA,219926,"Arothron meleagris","exact"
"Tetraodon lacrymatus",NA,219926,"Arothron meleagris","exact"
"Tetraodon meleagris",NA,219926,"Arothron meleagris","exact"
"Tetraodon setosus","synonym",219926,"Arothron meleagris","exact"
"Tetrodon meleagris","misspelling",219926,"Arothron meleagris","exact"
"Tetrodon setosus",NA,219926,"Arothron meleagris","exact"
"Arothron citrinellus",NA,219921,"Arothron nigropunctatus","exact"
"Arothtron nigropunctatus",NA,219921,"Arothron nigropunctatus","exact"
"Tetraodon nigropunctatus",NA,219921,"Arothron nigropunctatus","exact"
"Tetrodon nigropunctatus","misspelling",219921,"Arothron nigropunctatus","exact"
"Tetrodon nigropunctatus citrinella",NA,219921,"Arothron nigropunctatus","exact"
"Tetrodon nigropunctatus var. citrinella","synonym",219921,"Arothron nigropunctatus","exact"
"Tetraodon reticularis",NA,219932,"Arothron reticularis","exact"
"Tetrodon reticularis","misspelling",219932,"Arothron reticularis","exact"
"Arothron aerostaticus",NA,219928,"Arothron stellatus","exact"
"Arothron alboreticulatus",NA,219928,"Arothron stellatus","exact"
"Chelonodon stellaris","misspelling",219928,"Arothron stellatus","exact"
"Diodon asper",NA,219928,"Arothron stellatus","exact"
"Kanduka michiei",NA,219928,"Arothron stellatus","exact"
"Takifugu stellatus",NA,219928,"Arothron stellatus","exact"
"Tetraodon aerostaticus",NA,219928,"Arothron stellatus","exact"
"Tetraodon aerostatious","misspelling",219928,"Arothron stellatus","exact"
"Tetraodon alboreticulatus",NA,219928,"Arothron stellatus","exact"
"Tetraodon calamara",NA,219928,"Arothron stellatus","exact"
"Tetraodon lagocephalus var. stellatus",NA,219928,"Arothron stellatus","exact"
"Tetraodon punctatus",NA,219928,"Arothron stellatus","exact"
"Tetraodon stellatus",NA,219928,"Arothron stellatus","exact"
"Tetraodon stellatus",NA,219928,"Arothron stellatus","exact"
"Tetraodon stellatus",NA,219928,"Arothron stellatus","exact"
"Tetrodon aerostaticus","misspelling",219928,"Arothron stellatus","exact"
"Tetrodon lagocephalus stellatus","misspelling",219928,"Arothron stellatus","exact"
"Tetrodon lagocephalus var. stellatus","misspelling",219928,"Arothron stellatus","exact"
"Tetrodon punctatus","misspelling",219928,"Arothron stellatus","exact"
"Tetrodon stellatus","misspelling",219928,"Arothron stellatus","exact"
"Tetrodon stellatus","misspelling",219928,"Arothron stellatus","exact"
"Tetrodon stellatus","misspelling",219928,"Arothron stellatus","exact"
"Monacanthus filicauda",NA,1020037,"Arotrolepis filicauda","exact"
"Paramonacanthus filicauda","Superseded new combination",1020037,"Arotrolepis filicauda","exact"
"Arrhamphus sclerolepis krefftii",NA,1423333,"Arrhamphus krefftii","exact"
"Hemiramphus kreftii",NA,1423333,"Arrhamphus krefftii","exact"
"Hemirhamphus breviceps","synonym",1423333,"Arrhamphus krefftii","exact"
"Arrhamphus sclerolepis sclerolepis",NA,293547,"Arrhamphus sclerolepis","exact"
"Arripis georgianus",NA,1577326,"Arripis georgiana","exact"
"Centropristes georgianus",NA,1577326,"Arripis georgiana","exact"
"Centropristis georgiana",NA,1577326,"Arripis georgiana","exact"
"Arripis salar",NA,279693,"Arripis trutta","exact"
"Arripis trutta marginata",NA,279693,"Arripis trutta","exact"
"Centropristes salar","misspelling",279693,"Arripis trutta","exact"
"Centropristes sapidissimus",NA,279693,"Arripis trutta","exact"
"Centropristes tasmanicus",NA,279693,"Arripis trutta","exact"
"Centropristis salar","misspelling",279693,"Arripis trutta","exact"
"Perca marginata",NA,279693,"Arripis trutta","exact"
"Perca trutta",NA,279693,"Arripis trutta","exact"
"Sciaena mulloides sapidissimus",NA,279693,"Arripis trutta","exact"
"Sciaena trutta",NA,279693,"Arripis trutta","exact"
"Arripis esper",NA,279694,"Arripis truttacea","exact"
"Arripis trutta esper",NA,279694,"Arripis truttacea","exact"
"Arripis truttaceous","misspelling",279694,"Arripis truttacea","exact"
"Arripis truttaceus","misspelling",279694,"Arripis truttacea","exact"
"Centropristes truttaceus","misspelling",279694,"Arripis truttacea","exact"
"Centropristis truttaceus",NA,279694,"Arripis truttacea","exact"
"Lepidomegas muelleri","synonym",279694,"Arripis truttacea","exact"
"Lepidomegas mülleri",NA,279694,"Arripis truttacea","exact"
"Lepidomegus muelleri","misspelling",279694,"Arripis truttacea","exact"
"Sciaena truttaceus",NA,279694,"Arripis truttacea","exact"
"Artedidraco loennbergi","misspelling",712789,"Artedidraco lonnbergi","exact"
"Artedidraco lönnbergi","misspelling",712789,"Artedidraco lonnbergi","exact"
"Artediellus nigripinnis",NA,279696,"Artediellichthys nigripinnis","exact"
"Artediellus antilope",NA,279697,"Artediellina antilope","exact"
"Artediellus atlanticus atlanticus",NA,127193,"Artediellus atlanticus","exact"
"Artediellus atlanticus europaeus",NA,127193,"Artediellus atlanticus","exact"
"Artediellus atlanticus europeus","misspelling",127193,"Artediellus atlanticus","exact"
"Artediellus europaeus",NA,127193,"Artediellus atlanticus","exact"
"Artediellus dydymovi dydymovi",NA,274358,"Artediellus dydymovi","exact"
"Artediellus dydymovi gomojunovi",NA,254516,"Artediellus gomojunovi","exact"
"Cottiusculus minor",NA,274362,"Artediellus minor","exact"
"Blennicottus clarki",NA,254517,"Artediellus pacificus","exact"
"Artediellus scaber beringianus","junior synonym",127194,"Artediellus scaber","exact"
"Artedius scaber","senior synonym",127194,"Artediellus scaber","exact"
"Artediellus dydymovi schmidti",NA,274365,"Artediellus schmidti","exact"
"Centridermichthys uncinatus",NA,127195,"Artediellus uncinatus","exact"
"Cottus uncinatus",NA,127195,"Artediellus uncinatus","exact"
"Allartedius corallinus",NA,279699,"Artedius corallinus","exact"
"Astrolytes fenestralis",NA,279700,"Artedius fenestralis","exact"
"Axyrias harringtoni",NA,279701,"Artedius harringtoni","exact"
"Pterygiocottus macouni",NA,279701,"Artedius harringtoni","exact"
"Artedius delacyi","synonym",279702,"Artedius lateralis","exact"
"Scorpaenichthys lateralis",NA,279702,"Artedius lateralis","exact"
"Gobiosoma histrio",NA,279704,"Aruma histrio","exact"
"Radulinus taylori","Reverted to original combination",316433,"Asemichthys taylori","exact"
"Solea cyanea",NA,279711,"Aseraggodes cyaneus","exact"
"Parachirus diringeri",NA,279713,"Aseraggodes diringeri","exact"
"Pardachirus diringeri","misspelling",279713,"Aseraggodes diringeri","exact"
"Asseraggodes filiger","misspelling",279715,"Aseraggodes filiger","exact"
"Coryphillus filiger",NA,279715,"Aseraggodes filiger","exact"
"Asseragodes guttulatus","misspelling",279717,"Aseraggodes guttulatus","exact"
"Aseraggodes haackeana",NA,279718,"Aseraggodes haackeanus","exact"
"Solea haackeana",NA,279718,"Aseraggodes haackeanus","exact"
"Asseragodes kaianus","misspelling",279724,"Aseraggodes kaianus","exact"
"Solea kaiana",NA,279724,"Aseraggodes kaianus","exact"
"Solea kobensis",NA,279726,"Aseraggodes kobensis","exact"
"Solea melanosticta",NA,279731,"Aseraggodes melanostictus","exact"
"Solea melanostictus","misspelling",279731,"Aseraggodes melanostictus","exact"
"Aseraggodes ramsayi",NA,279738,"Aseraggodes ramsaii","exact"
"Solea ramsaii",NA,279738,"Aseraggodes ramsaii","exact"
"Solea umbratilis",NA,279744,"Aseraggodes umbratilis","exact"
"Aseraggodes smithi","synonym",398698,"Aseraggodes xenicus","exact"
"Parachirus xenicus","synonym",398698,"Aseraggodes xenicus","exact"
"Ascoldia variegata knipowitschi",NA,279746,"Askoldia variegata","exact"
"Askoldia knipowitschi",NA,279746,"Askoldia variegata","exact"
"Askoldia variegata knipowitschi",NA,279746,"Askoldia variegata","exact"
"Askoldia variegata variegata",NA,279746,"Askoldia variegata","exact"
"Lepadogaster minimus",NA,279747,"Aspasma minima","exact"
"Aspasma ciconiae",NA,279748,"Aspasmichthys ciconiae","exact"
"Aspasmichthys ciconae","misspelling",279748,"Aspasmichthys ciconiae","exact"
"Diplocrepis costatus",NA,279749,"Aspasmogaster costata","exact"
"Aspasmogaster liorhyncha",NA,313777,"Aspasmogaster liorhynchus","exact"
"Aspasmogaster patella","synonym",279752,"Aspasmogaster tasmaniensis","exact"
"Crepidogaster tasmaniensis",NA,279752,"Aspasmogaster tasmaniensis","exact"
"Volgiolus interorbitalis",NA,279752,"Aspasmogaster tasmaniensis","exact"
"Corvina jubata",NA,279753,"Aspericorvina jubata","exact"
"Johnius jubatus",NA,279753,"Aspericorvina jubata","exact"
"Johnius melanobrachium",NA,279753,"Aspericorvina jubata","exact"
"Aspidontus dussumeiri","misspelling",219243,"Aspidontus dussumieri","exact"
"Aspidontus fluctuans",NA,219243,"Aspidontus dussumieri","exact"
"Aspidontus gorrorensis",NA,219243,"Aspidontus dussumieri","exact"
"Aspidontus wamiziensis",NA,219243,"Aspidontus dussumieri","exact"
"Blennechis dussumieri",NA,219243,"Aspidontus dussumieri","exact"
"Petroscirtes fluctuans",NA,219243,"Aspidontus dussumieri","exact"
"Petroscirtes gorrorensis",NA,219243,"Aspidontus dussumieri","exact"
"Aspidontus filamentosus",NA,219242,"Aspidontus taeniatus","exact"
"Aspidontus taeniatus taeniatus","synonym",219242,"Aspidontus taeniatus","exact"
"Aspidontus taeniatus tractus","synonym",219242,"Aspidontus taeniatus","exact"
"Aspidontus tractus",NA,219242,"Aspidontus taeniatus","exact"
"Aspinodontus taeniatus",NA,219242,"Aspidontus taeniatus","exact"
"Blennechis filamentosus",NA,219242,"Aspidontus taeniatus","exact"
"Petrocirtes taeniatus","misspelling",219242,"Aspidontus taeniatus","exact"
"Cyprinus jaya",NA,1026582,"Aspidoparia jaya","exact"
"Leuciscus jaya",NA,1026582,"Aspidoparia jaya","exact"
"Leuciscus margarodes",NA,1026582,"Aspidoparia jaya","exact"
"Leuciscus margarodis","junior synonym",1026582,"Aspidoparia jaya","exact"
"Aspidophoroides bartoni","synonym",159459,"Aspidophoroides monopterygius","exact"
"Aspidophoroides borealis",NA,159459,"Aspidophoroides monopterygius","exact"
"Aspidophoroides groenlandicus","synonym",159459,"Aspidophoroides monopterygius","exact"
"Aspidophoroides tranquebar",NA,159459,"Aspidophoroides monopterygius","exact"
"Cottus indicus",NA,159459,"Aspidophoroides monopterygius","exact"
"Cottus monopterygius",NA,159459,"Aspidophoroides monopterygius","exact"
"Aspidophoroides guentherii",NA,309268,"Aspidophoroides olrikii","exact"
"Aspidophoroides guntheri","misspelling",309268,"Aspidophoroides olrikii","exact"
"Aspidophoroides güntherii","misspelling",309268,"Aspidophoroides olrikii","exact"
"Aspidophoroides olriki","misspelling",309268,"Aspidophoroides olrikii","exact"
"Ulcina güntheri","misspelling",309268,"Aspidophoroides olrikii","exact"
"Ulcina olriki","misspelling",309268,"Aspidophoroides olrikii","exact"
"Ulcina olrikii",NA,309268,"Aspidophoroides olrikii","exact"
"Corydoras pauciradiatus",NA,1013207,"Aspidoras pauciradiatus","exact"
"Corydoras raimundi",NA,1018304,"Aspidoras raimundi","exact"
"Asprocottus herzensteini intermedius","senior synonym",1524949,"Asprocottus intermedius","exact"
"Asprocottus korjakovi minor",NA,1010069,"Asprocottus minor","exact"
"Asprocottus herzensteini parmiferus","senior synonym",1524942,"Asprocottus parmiferus","exact"
"Asprocottus herzensteini platycephalus","senior synonym",1524943,"Asprocottus platycephalus","exact"
"Cottinella pulchra","senior synonym",1014035,"Asprocottus pulcher","exact"
"Alepocephalus hjorti",NA,272853,"Asquamiceps hjorti","exact"
"Asquamiceps indagatio","Junior synonym",126685,"Asquamiceps velaris","exact"
"Asquamisceps indagatio","Junior synonym - misspelling",126685,"Asquamiceps velaris","exact"
"Assessor macneili","misspelling",279762,"Assessor macneilli","exact"
"Cichlops filamentosus","synonym",279765,"Assiculus punctatus","exact"
"Pseudochromis muelleri","synonym",279765,"Assiculus punctatus","exact"
"Pseudochromis punctatus",NA,279765,"Assiculus punctatus","exact"
"Assurger alexanderi","synonym",279766,"Assurger anzac","exact"
"Evoxymetopon anzac","synonym",279766,"Assurger anzac","exact"
"Amphilophus macracanthus","senior synonym",1259750,"Astatheros macracanthus","exact"
"Cichlasoma evermanni",NA,1259750,"Astatheros macracanthus","exact"
"Cichlasoma guija",NA,1259750,"Astatheros macracanthus","exact"
"Cichlasoma macracanthum",NA,1259750,"Astatheros macracanthus","exact"
"Herichthys guija","junior synonym",1259750,"Astatheros macracanthus","exact"
"Heros heterodontus","junior synonym",1259750,"Astatheros macracanthus","exact"
"Heros macracanthus",NA,1259750,"Astatheros macracanthus","exact"
"Astatore alluaudi","senior synonym",1018572,"Astatoreochromis alluaudi","exact"
"Astatoreochromis alluaudi alluaudi","senior synonym",1018572,"Astatoreochromis alluaudi","exact"
"Astatoreochromis alluaudi occidentalis",NA,1018572,"Astatoreochromis alluaudi","exact"
"Haplochromis alluaudi","senior synonym",1018572,"Astatoreochromis alluaudi","exact"
"Astatoreochromis vanderhorsti",NA,1014565,"Astatoreochromis straeleni","exact"
"Haplochromis straeleni",NA,1014565,"Astatoreochromis straeleni","exact"
"Haplochromis vanderhorsti",NA,1014565,"Astatoreochromis straeleni","exact"
"Astatotilapia sparsidens","junior synonym",1026681,"Astatotilapia bloyeti","exact"
"Astatotilapia strigigena","junior synonym",1026681,"Astatotilapia bloyeti","exact"
"Chromis strigigena","junior synonym",1026681,"Astatotilapia bloyeti","exact"
"Ctenochromis strigigena","synonym",1026681,"Astatotilapia bloyeti","exact"
"Haplochromis bloyeti",NA,1026681,"Astatotilapia bloyeti","exact"
"Haplochromis sparsidens","junior synonym",1026681,"Astatotilapia bloyeti","exact"
"Haplochromis strigigena","junior synonym",1026681,"Astatotilapia bloyeti","exact"
"Hemichromis bloyeti",NA,1026681,"Astatotilapia bloyeti","exact"
"Paratilapia bloyeti",NA,1026681,"Astatotilapia bloyeti","exact"
"Paratilapia kilossana",NA,1026681,"Astatotilapia bloyeti","exact"
"Tilapia bloyeti",NA,1026681,"Astatotilapia bloyeti","exact"
"Tilapia sparsidens","synonym",1026681,"Astatotilapia bloyeti","exact"
"Tilapia strigigena","junior synonym",1026681,"Astatotilapia bloyeti","exact"
"Chromis burtoni",NA,991221,"Astatotilapia burtoni","exact"
"Haplochromis burtoni",NA,991221,"Astatotilapia burtoni","exact"
"Tilapia burtoni","senior synonym",991221,"Astatotilapia burtoni","exact"
"Tilapia nadinae","synonym",991221,"Astatotilapia burtoni","exact"
"Chromis callipterus",NA,1015837,"Astatotilapia calliptera","exact"
"Ctenochromis callipterus","senior synonym",1015837,"Astatotilapia calliptera","exact"
"Haplochromis callipterus","senior synonym",1015837,"Astatotilapia calliptera","exact"
"Haplochromis centropristoides",NA,1015837,"Astatotilapia calliptera","exact"
"Neochromis simotes nyassae","junior synonym",1015837,"Astatotilapia calliptera","exact"
"Tilapia calliptera","senior synonym",1015837,"Astatotilapia calliptera","exact"
"Chromis desfontainei",NA,1019096,"Astatotilapia desfontainii","exact"
"Chromis desfontainii",NA,1019096,"Astatotilapia desfontainii","exact"
"Haplochromis desfontainesi",NA,1019096,"Astatotilapia desfontainii","exact"
"Haplochromis desfontainesii",NA,1019096,"Astatotilapia desfontainii","exact"
"Haplochromis desfontainii","senior synonym",1019096,"Astatotilapia desfontainii","exact"
"Sparus desfontaines",NA,1019096,"Astatotilapia desfontainii","exact"
"Sparus desfontainii","synonym",1019096,"Astatotilapia desfontainii","exact"
"Chromis flaviijosephi",NA,1048610,"Astatotilapia flaviijosephi","exact"
"Haplochromis flaviijosephi","senior synonym",1048610,"Astatotilapia flaviijosephi","exact"
"Haplochromis flavijosephi","synonym",1048610,"Astatotilapia flaviijosephi","exact"
"Tilapia flaviijosephi",NA,1048610,"Astatotilapia flaviijosephi","exact"
"Astatotilapia stappersi",NA,1014638,"Astatotilapia stappersii","exact"
"Haplochromis stappersi",NA,1014638,"Astatotilapia stappersii","exact"
"Haplochromis stappersii",NA,1014638,"Astatotilapia stappersii","exact"
"Haplochromis swynnertoni","senior synonym",1018372,"Astatotilapia swynnertoni","exact"
"Tilapia swynnertoni",NA,1018372,"Astatotilapia swynnertoni","exact"
"Haplochromis tweddlei",NA,1011953,"Astatotilapia tweddlei","exact"
"Asterorhombus fijiensis",NA,277970,"Asterorhombus cocosensis","exact"
"Engyprosopon cocosensis",NA,277970,"Asterorhombus cocosensis","exact"
"Engyprosopon fijiensis","synonym",277970,"Asterorhombus cocosensis","exact"
"Platophrys cocosensis",NA,277970,"Asterorhombus cocosensis","exact"
"Rhombus cocosensis",NA,277970,"Asterorhombus cocosensis","exact"
"Arnoglossus intermedius",NA,219792,"Asterorhombus intermedius","exact"
"Asterorhombus stellifer",NA,219792,"Asterorhombus intermedius","exact"
"Engyprosopon intermedius",NA,219792,"Asterorhombus intermedius","exact"
"Platophrys intermedius",NA,219792,"Asterorhombus intermedius","exact"
"Asterropteryx bipunctatus","misspelling",277495,"Asterropteryx bipunctata","exact"
"Asterropterix ensiferus",NA,277496,"Asterropteryx ensifera","exact"
"Asterropteryx ensifer","misspelling",277496,"Asterropteryx ensifera","exact"
"Asterropteryx ensiferus",NA,277496,"Asterropteryx ensifera","exact"
"Brachyeleotris ensifera",NA,277496,"Asterropteryx ensifera","exact"
"Asteropteryx semipunctatus","misspelling",277497,"Asterropteryx semipunctata","exact"
"Asterropterix eumeces",NA,277497,"Asterropteryx semipunctata","exact"
"Asterropterix semipunctata","misspelling",277497,"Asterropteryx semipunctata","exact"
"Asterropterix semipunctatus","misspelling",277497,"Asterropteryx semipunctata","exact"
"Asterropterix semipunctatus quisqualis",NA,277497,"Asterropteryx semipunctata","exact"
"Asterropteryx semipunctatus","misspelling",277497,"Asterropteryx semipunctata","exact"
"Eleotris miniatus",NA,277497,"Asterropteryx semipunctata","exact"
"Gobiomorphus hypselopteryx",NA,277497,"Asterropteryx semipunctata","exact"
"Gobiomorphus robustus",NA,277497,"Asterropteryx semipunctata","exact"
"Priolepis auriga",NA,277497,"Asterropteryx semipunctata","exact"
"Prioolepis auriga","misspelling",277497,"Asterropteryx semipunctata","exact"
"Asterropteryx spinosus",NA,277498,"Asterropteryx spinosa","exact"
"Oplopomus spinosus",NA,277498,"Asterropteryx spinosa","exact"
"Asterropterix striata","misspelling",277499,"Asterropteryx striata","exact"
"Asterropteryx striatus","misspelling",277499,"Asterropteryx striata","exact"
"Macrurus fragilis",NA,279767,"Asthenomacrurus fragilis","exact"
"Apogon alutus",NA,279772,"Astrapogon alutus","exact"
"Apogonichthys puncticulatus",NA,279773,"Astrapogon puncticulatus","exact"
"Apogonichthys stellatus",NA,279774,"Astrapogon stellatus","exact"
"Arges boulengeri",NA,1470728,"Astroblepus boulengeri","exact"
"Arges brachycephalus",NA,1419882,"Astroblepus brachycephalus","exact"
"Cyclopium chapmani",NA,1525967,"Astroblepus chapmani","exact"
"Cyclopium chimborazoi",NA,1525839,"Astroblepus chimborazoi","exact"
"Arges chotae",NA,1470727,"Astroblepus chotae","exact"
"Astroblepus chatae",NA,1470727,"Astroblepus chotae","exact"
"Arges cirratus",NA,1525987,"Astroblepus cirratus","exact"
"Arges cyclopum",NA,1022921,"Astroblepus cyclopus","exact"
"Astroblepus humboldti","junior synonym",1022921,"Astroblepus cyclopus","exact"
"Cyclopium cyclopum",NA,1022921,"Astroblepus cyclopus","exact"
"Cyclopium humboldtii","junior synonym",1022921,"Astroblepus cyclopus","exact"
"Pimelodus cyclopum",NA,1022921,"Astroblepus cyclopus","exact"
"Stygogenes cyclopum",NA,1022921,"Astroblepus cyclopus","exact"
"Stygogenes humboldti",NA,1022921,"Astroblepus cyclopus","exact"
"Stygogenes humboldtii","synonym",1022921,"Astroblepus cyclopus","exact"
"Arges eigenmanni",NA,1470744,"Astroblepus eigenmanni","exact"
"Arges festae",NA,1468451,"Astroblepus festae","exact"
"Arges fissidens",NA,1470730,"Astroblepus fissidens","exact"
"Astroblepus grixalvae",NA,1022919,"Astroblepus grixalvii","exact"
"Arges guentheri",NA,1443517,"Astroblepus guentheri","exact"
"Cyclopium guentheri",NA,1443517,"Astroblepus guentheri","exact"
"Stygogenes guentheri",NA,1443517,"Astroblepus guentheri","exact"
"Arges heterodon",NA,1526076,"Astroblepus heterodon","exact"
"Arges homodon",NA,1470731,"Astroblepus homodon","exact"
"Astroblepus latindens",NA,1017011,"Astroblepus latidens","exact"
"Arges longifilis",NA,1466694,"Astroblepus longifilis","exact"
"Cyclopium mariae",NA,1525718,"Astroblepus mariae","exact"
"Arges marmoratus",NA,1470745,"Astroblepus marmoratus","exact"
"Astroblepus grixalvii micrescens","senior synonym",1525740,"Astroblepus micrescens","exact"
"Astroblepus mindoense",NA,1525808,"Astroblepus mindoensis","exact"
"Cyclopium mindoense",NA,1525808,"Astroblepus mindoensis","exact"
"Arges orientalis",NA,1470237,"Astroblepus orientalis","exact"
"Arges peruanus",NA,1463311,"Astroblepus peruanus","exact"
"Astroblepus pirrense",NA,1525931,"Astroblepus pirrensis","exact"
"Cyclopium pirrense",NA,1525931,"Astroblepus pirrensis","exact"
"Astroblepus prenadilla","senior synonym",1460169,"Astroblepus prenadillus","exact"
"Brontes prenadilla",NA,1460169,"Astroblepus prenadillus","exact"
"Arges regani",NA,1526054,"Astroblepus regani","exact"
"Arges retropinna",NA,1526077,"Astroblepus retropinnus","exact"
"Astroblepus retropinnis",NA,1526077,"Astroblepus retropinnus","exact"
"Arges sabalo",NA,1460170,"Astroblepus sabalo","exact"
"Astroblepus cyclopus santanderensis","senior synonym",1525744,"Astroblepus santanderensis","exact"
"Arges simonsii",NA,1470732,"Astroblepus simonsii","exact"
"Arges stuebeli",NA,1525809,"Astroblepus stuebeli","exact"
"Astroblepus stubeli",NA,1525809,"Astroblepus stuebeli","exact"
"Arges taczanowskii",NA,1467713,"Astroblepus taczanowskii","exact"
"Arges theresiae",NA,1526132,"Astroblepus theresiae","exact"
"Astroblepus trifasciatum",NA,1525968,"Astroblepus trifasciatus","exact"
"Cyclopium trifasciatum",NA,1525968,"Astroblepus trifasciatus","exact"
"Cyclopium ubidiai",NA,1525452,"Astroblepus ubidiai","exact"
"Cyclopium unifasciatum",NA,1525969,"Astroblepus unifasciatus","exact"
"Arges vaillanti",NA,1470746,"Astroblepus vaillanti","exact"
"Cyclopium vanceae",NA,1525921,"Astroblepus vanceae","exact"
"Cyclopium ventrale",NA,1525988,"Astroblepus ventralis","exact"
"Arges whymperi",NA,1467716,"Astroblepus whymperi","exact"
"Doras asterifrons",NA,1021670,"Astrodoras asterifrons","exact"
"Astronesthes bilobata","misspelling",275009,"Astronesthes bilobatus","exact"
"Astronesthes blanci",NA,275010,"Astronesthes caulophorus","exact"
"Stomianodon chrysophekadion",NA,275011,"Astronesthes chrysophekadion","exact"
"Astronesthes cyanea",NA,275012,"Astronesthes cyaneus","exact"
"Bathylychnus cyaneus",NA,275012,"Astronesthes cyaneus","exact"
"Astronesthes formosana",NA,390128,"Astronesthes formosanus","exact"
"Astronesthes indica","misspelling",127323,"Astronesthes indicus","exact"
"Astronesthes indopacifica","misspelling",275023,"Astronesthes indopacificus","exact"
"Astronesthes longiceps",NA,127324,"Astronesthes leucopogon","exact"
"Astronesthes cyclophotus",NA,127327,"Astronesthes neopogon","exact"
"Astronesthes nigra","misspelling",127328,"Astronesthes niger","exact"
"Chauliodus fieldii",NA,127328,"Astronesthes niger","exact"
"Stomias fieldii",NA,127328,"Astronesthes niger","exact"
"Cryptostomias psychrolutes",NA,234747,"Astronesthes psychrolutes","exact"
"Astronesthes filifer",NA,158843,"Astronesthes richardsoni","exact"
"Astronesthes oculatus",NA,158843,"Astronesthes richardsoni","exact"
"Astronesthes richardsonii","misspelling",158843,"Astronesthes richardsoni","exact"
"Chauliodus richardsoni",NA,158843,"Astronesthes richardsoni","exact"
"Astronesthes similis","misspelling",275036,"Astronesthes similus","exact"
"Astronesthes splendida","misspelling",306683,"Astronesthes splendidus","exact"
"Astronesthes trifibulata","misspelling",217622,"Astronesthes trifibulatus","exact"
"Acara crassipinnis",NA,1022381,"Astronotus crassipinnis","exact"
"Astronotus crassipinis",NA,1022381,"Astronotus crassipinnis","exact"
"Acara compressus","synonym",862538,"Astronotus ocellatus","exact"
"Acara hyposticta",NA,862538,"Astronotus ocellatus","exact"
"Astronotus ocellatus ocellatus","senior synonym",862538,"Astronotus ocellatus","exact"
"Astronotus ocellatus zebra","junior synonym",862538,"Astronotus ocellatus","exact"
"Astronotus orbiculatus","synonym",862538,"Astronotus ocellatus","exact"
"Cychla rubroocellata",NA,862538,"Astronotus ocellatus","exact"
"Lobotes ocellatus","synonym",862538,"Astronotus ocellatus","exact"
"Uranoscopus sexspinosus",NA,275975,"Astroscopus sexspinosus","exact"
"Astroscopus y-graecum",NA,159252,"Astroscopus ygraecum","exact"
"Uranoscopus y graecum",NA,159252,"Astroscopus ygraecum","exact"
"Uranoscopus ygraecum","senior synonym",159252,"Astroscopus ygraecum","exact"
"Uranoscopus y-graecum",NA,159252,"Astroscopus ygraecum","exact"
"Tetragonopterus abramis",NA,1418409,"Astyanax abramis","exact"
"Astyanax armandoi","synonym",279778,"Astyanax aeneus","exact"
"Tetragonopterus aeneus","synonym",279778,"Astyanax aeneus","exact"
"Astyanax fasciatus altior","senior synonym",1525367,"Astyanax altior","exact"
"Tetragonopterus angustifrons",NA,1526088,"Astyanax angustifrons","exact"
"Astyanax bimaculatus asuncionensis",NA,1524427,"Astyanax asuncionensis","exact"
"Carlastyanax aurocaudatus",NA,1017357,"Astyanax aurocaudatus","exact"
"Bramocharax baileyi",NA,1524424,"Astyanax baileyi","exact"
"Tetragonopterus belizianus",NA,1592383,"Astyanax belizianus","exact"
"Astianax bimaculatus",NA,1023047,"Astyanax bimaculatus","exact"
"Astyanax bimaculatus borealis","junior synonym",1023047,"Astyanax bimaculatus","exact"
