"level_1","level_2","level_3","level_4","level_5","scientific","qualifiers","CAAB_code"
"Physical","Relief","Flat",,,,,"82003001"
"Physical","Relief","High","Caves",,,,"82003008"
"Physical","Relief","High","High (>3m)",,,,"82003006"
"Physical","Relief","High","Wall",,,,"82003007"
"Physical","Relief","High",,,,,"82003005"
"Physical","Relief","Low / moderate","Low (<1m)",,,,"82003003"
"Physical","Relief","Low / moderate","Moderate (1-3m)",,,,"82003004"
"Physical","Relief","Low / moderate",,,,,"82003002"
"Physical","Relief",,,,,,"82003000"
