"level_1","level_2","level_3","level_4","level_5","scientific","qualifiers","CAAB_code"
"Biota","Cnidaria","Corals","Black & Octocorals","Blue coral (Heliopora)",,"Bleached","11171000"
"Biota","Cnidaria","Corals","Black & Octocorals","Blue coral (Heliopora)",,"Dead","11171000"
"Biota","Cnidaria","Corals","Black & Octocorals","Blue coral (Heliopora)",,"Recently dead","11171000"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",,,"11168902"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",,"Alive","11168902"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",,"Recruit","11168902"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",,"Bleached","11168902"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",,"Dead","11168902"
"Biota","Cnidaria","Corals","Black & Octocorals","Branching (3D)",,"Recently dead","11168902"
"Biota","Cnidaria","Corals","Black & Octocorals","Encrusting",,,"11168919"
"Biota","Cnidaria","Corals","Black & Octocorals","Encrusting",,"Alive","11168919"
"Biota","Cnidaria","Corals","Black & Octocorals","Encrusting",,"Recruit","11168919"
"Biota","Cnidaria","Corals","Black & Octocorals","Encrusting",,"Bleached","11168919"
"Biota","Cnidaria","Corals","Black & Octocorals","Encrusting",,"Dead","11168919"
"Biota","Cnidaria","Corals","Black & Octocorals","Encrusting",,"Recently dead","11168919"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",,,"11168912"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",,"Alive","11168912"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",,"Recruit","11168912"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",,"Bleached","11168912"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",,"Dead","11168912"
"Biota","Cnidaria","Corals","Black & Octocorals","Fan (2D)",,"Recently dead","11168912"
"Biota","Cnidaria","Corals","Black & Octocorals","Massive soft corals",,,"11168920"
"Biota","Cnidaria","Corals","Black & Octocorals","Massive soft corals",,"Alive","11168920"
"Biota","Cnidaria","Corals","Black & Octocorals","Massive soft corals",,"Recruit","11168920"
"Biota","Cnidaria","Corals","Black & Octocorals","Massive soft corals",,"Bleached","11168920"
"Biota","Cnidaria","Corals","Black & Octocorals","Massive soft corals",,"Dead","11168920"
"Biota","Cnidaria","Corals","Black & Octocorals","Massive soft corals",,"Recently dead","11168920"
"Biota","Cnidaria","Corals","Black & Octocorals","Organ pipe coral (Tubipora)",,,"11201901"
"Biota","Cnidaria","Corals","Black & Octocorals","Organ pipe coral (Tubipora)",,"Alive","11201901"
"Biota","Cnidaria","Corals","Black & Octocorals","Organ pipe coral (Tubipora)",,"Recruit","11201901"
"Biota","Cnidaria","Corals","Black & Octocorals","Organ pipe coral (Tubipora)",,"Bleached","11201901"
"Biota","Cnidaria","Corals","Black & Octocorals","Organ pipe coral (Tubipora)",,"Dead","11201901"
"Biota","Cnidaria","Corals","Black & Octocorals","Organ pipe coral (Tubipora)",,"Recently dead","11201901"
"Biota","Cnidaria","Corals","Black & Octocorals","Quill (seapen)",,,"11168918"
"Biota","Cnidaria","Corals","Black & Octocorals","Quill (seapen)",,"Alive","11168918"
"Biota","Cnidaria","Corals","Black & Octocorals","Quill (seapen)",,"Recruit","11168918"
"Biota","Cnidaria","Corals","Black & Octocorals","Quill (seapen)",,"Bleached","11168918"
"Biota","Cnidaria","Corals","Black & Octocorals","Quill (seapen)",,"Dead","11168918"
"Biota","Cnidaria","Corals","Black & Octocorals","Quill (seapen)",,"Recently dead","11168918"
"Biota","Cnidaria","Corals","Black & Octocorals","Whip",,,"11168917"
"Biota","Cnidaria","Corals","Black & Octocorals","Whip",,"Alive","11168917"
"Biota","Cnidaria","Corals","Black & Octocorals","Whip",,"Recruit","11168917"
"Biota","Cnidaria","Corals","Black & Octocorals","Whip",,"Bleached","11168917"
"Biota","Cnidaria","Corals","Black & Octocorals","Whip",,"Dead","11168917"
"Biota","Cnidaria","Corals","Black & Octocorals","Whip",,"Recently dead","11168917"
"Biota","Cnidaria","Corals","Stony corals",,,,"11290000"
"Biota","Cnidaria","Corals","Stony corals",,,"Alive","11290000"
"Biota","Cnidaria","Corals","Stony corals",,,"Recruit","11290000"
"Biota","Cnidaria","Corals","Stony corals",,,"Bleached","11290000"
"Biota","Cnidaria","Corals","Stony corals",,,"Dead","11290000"
"Biota","Cnidaria","Corals","Stony corals",,,"Recently dead","11290000"
"Biota","Cnidaria","Corals","Stony corals","Bottlebrush",,,"11290904"
"Biota","Cnidaria","Corals","Stony corals","Bottlebrush",,"Alive","11290904"
"Biota","Cnidaria","Corals","Stony corals","Bottlebrush",,"Recruit","11290904"
"Biota","Cnidaria","Corals","Stony corals","Bottlebrush",,"Bleached","11290904"
"Biota","Cnidaria","Corals","Stony corals","Bottlebrush",,"Dead","11290904"
"Biota","Cnidaria","Corals","Stony corals","Bottlebrush",,"Recently dead","11290904"
"Biota","Cnidaria","Corals","Stony corals","Branching",,,"11290912"
"Biota","Cnidaria","Corals","Stony corals","Branching",,"Alive","11290912"
"Biota","Cnidaria","Corals","Stony corals","Branching",,"Recruit","11290912"
"Biota","Cnidaria","Corals","Stony corals","Branching",,"Bleached","11290912"
"Biota","Cnidaria","Corals","Stony corals","Branching",,"Dead","11290912"
"Biota","Cnidaria","Corals","Stony corals","Branching",,"Recently dead","11290912"
"Biota","Cnidaria","Corals","Stony corals","Columnar",,,"11290915"
"Biota","Cnidaria","Corals","Stony corals","Columnar",,"Alive","11290915"
"Biota","Cnidaria","Corals","Stony corals","Columnar",,"Recruit","11290915"
"Biota","Cnidaria","Corals","Stony corals","Columnar",,"Bleached","11290915"
"Biota","Cnidaria","Corals","Stony corals","Columnar",,"Dead","11290915"
"Biota","Cnidaria","Corals","Stony corals","Columnar",,"Recently dead","11290915"
"Biota","Cnidaria","Corals","Stony corals","Corymbose",,,"11290910"
"Biota","Cnidaria","Corals","Stony corals","Corymbose",,"Alive","11290910"
"Biota","Cnidaria","Corals","Stony corals","Corymbose",,"Recruit","11290910"
"Biota","Cnidaria","Corals","Stony corals","Corymbose",,"Bleached","11290910"
"Biota","Cnidaria","Corals","Stony corals","Corymbose",,"Dead","11290910"
"Biota","Cnidaria","Corals","Stony corals","Corymbose",,"Recently dead","11290910"
"Biota","Cnidaria","Corals","Stony corals","Digitate",,,"11290909"
"Biota","Cnidaria","Corals","Stony corals","Digitate",,"Alive","11290909"
"Biota","Cnidaria","Corals","Stony corals","Digitate",,"Recruit","11290909"
"Biota","Cnidaria","Corals","Stony corals","Digitate",,"Bleached","11290909"
"Biota","Cnidaria","Corals","Stony corals","Digitate",,"Dead","11290909"
"Biota","Cnidaria","Corals","Stony corals","Digitate",,"Recently dead","11290909"
"Biota","Cnidaria","Corals","Stony corals","Encrusting",,,"11290908"
"Biota","Cnidaria","Corals","Stony corals","Encrusting",,"Alive","11290908"
"Biota","Cnidaria","Corals","Stony corals","Encrusting",,"Recruit","11290908"
